NEST_ID,HATCHING EXPOSURE,FLEDGING EXPOSURE,Year_Nest,Date_FirstMarked,NestMarker,WaypointCode,Elevation_metres,Latitude_WGS84,Longitude_WGS84,ASTRODOS_UTM_E,ASTRODOS_UTM_N,TYPE,PARENT 1m,PARENT 2f,PARENT3,SEASON,HATCHED,fledged,failed,cause of failure,nested before,tracked?
MASPE_2006_C184,46.5,0,2006,29/05/2006,184,PI,,,,202405,8232507,NATURAL,,,,COOL,,,TRUE,,,
MASPE_2006_C2143,48.5,64.5,2006,24/04/2006,605,E3,,,,202714,8232887,NATURAL,,,,COOL,TRUE,,TRUE,,,
MASPE_2006_C2147,14.5,0,2006,29/05/2006,609,E4,,,,202800,8232825,NATURAL,,,,COOL,,,TRUE,,,
MASPE_2006_C2149,48.5,0,2006,25/04/2006,611,E3,,,,202714,8232887,NATURAL,,,,COOL,,,TRUE,,,
MASPE_2006_C2150,17,0,2006,25/04/2006,612,E4,,,,202800,8232825,NATURAL,,,,COOL,,,TRUE,,,
MASPE_2006_C2151,48.5,0,2006,25/04/2006,613,E4,,,,202800,8232825,NATURAL,,,,COOL,,,TRUE,,,
MASPE_2006_C2152,48.5,0,2006,25/04/2006,614,E4,,,,202800,8232825,NATURAL,,,,COOL,,,TRUE,,,
MASPE_2006_C2153,48.5,0,2006,25/04/2006,615,E4,,,,202800,8232825,NATURAL,,,,COOL,,,TRUE,,,
MASPE_2006_C2154,48.5,0,2006,25/04/2006,616,E4,,,,202800,8232825,NATURAL,,,,COOL,,,TRUE,,,
MASPE_2006_C2156,48.5,47,2006,25/04/2006,618,E4,,,,202800,8232825,NATURAL,,,,COOL,TRUE,TRUE,,,,
MASPE_2006_C2157,17,0,2006,24/04/2006,619,E4,,,,202800,8232825,NATURAL,,,,COOL,,,TRUE,,,
MASPE_2006_C2158,48.5,64.5,2006,25/04/2006,620,E4,,,,202800,8232825,NATURAL,,,,COOL,TRUE,TRUE,,,,
MASPE_2006_C2159,80.5,0,2006,25/04/2006,621,E4,,,,202800,8232825,NATURAL,,,,COOL,,,TRUE,,,
MASPE_2006_C2160,14.5,0,2006,29/05/2006,622,E1,,,,202650,8232895,NATURAL,,,,COOL,,,TRUE,,,
MASPE_2006_C2161,46.5,60,2006,29/05/2006,623,E1,,,,202650,8232895,NATURAL,,,,COOL,TRUE,TRUE,,,,
MASPE_2006_C2162,14.5,0,2006,29/05/2006,624,E3,,,,202714,8232887,NATURAL,,,,COOL,,,TRUE,,,
